P,E,eta,uptime,fee,profit_mean,P_loss,mis_naive,mis_std,mis_champ,VPI_vs_naive,val_champ_vs_naive,val_champ_vs_std
60000.0,0.03,18,0.9,0.05,755495.6346151114,0.0,34924.98320340749,37870.22940430048,31239.033687159845,34924.98320340749,3685.9495162476487,6631.195717140636
60000.0,0.03,18,0.9,0.3,827841.4326163011,0.0,37674.98188084115,40852.13723141074,33698.800119219675,37674.98188084115,3976.1817616214757,7153.337112191068
60000.0,0.03,18,0.97,0.05,814256.4061962866,0.0,37641.370785894745,40815.69169130161,33668.73630727227,37641.370785894745,3972.6344786224727,7146.955384029337
60000.0,0.03,18,0.97,0.3,892229.0995975689,0.0,40605.25824935103,44029.52568274269,36319.81790627009,40605.25824935103,4285.44034308094,7709.7077764726055
60000.0,0.03,25,0.9,0.05,691991.6346151114,0.0,34924.98320340749,37870.22940430048,31239.033687159845,34924.98320340749,3685.9495162476487,6631.195717140636
60000.0,0.03,25,0.9,0.3,764337.4326163011,0.0,37674.98188084115,40852.13723141074,33698.800119219675,37674.98188084115,3976.1817616214757,7153.337112191068
60000.0,0.03,25,0.97,0.05,745813.2061962864,0.0,37641.370785894745,40815.69169130161,33668.73630727227,37641.370785894745,3972.6344786224727,7146.955384029337
60000.0,0.03,25,0.97,0.3,823785.8995975689,0.0,40605.25824935103,44029.52568274269,36319.81790627009,40605.25824935103,4285.44034308094,7709.7077764726055
60000.0,0.03,32,0.9,0.05,628487.6346151114,0.0,34924.98320340749,37870.22940430048,31239.033687159845,34924.98320340749,3685.9495162476487,6631.195717140636
60000.0,0.03,32,0.9,0.3,700833.4326163011,0.0,37674.98188084115,40852.13723141074,33698.800119219675,37674.98188084115,3976.1817616214757,7153.337112191068
60000.0,0.03,32,0.97,0.05,677370.0061962865,0.0,37641.370785894745,40815.69169130161,33668.73630727227,37641.370785894745,3972.6344786224727,7146.955384029337
60000.0,0.03,32,0.97,0.3,755342.6995975688,0.0,40605.25824935103,44029.52568274269,36319.81790627009,40605.25824935103,4285.44034308094,7709.7077764726055
60000.0,0.05,18,0.9,0.05,646631.6346151114,0.0,34924.98320340749,37870.22940430048,31239.033687159845,34924.98320340749,3685.9495162476487,6631.195717140636
60000.0,0.05,18,0.9,0.3,718977.4326163011,0.0,37674.98188084115,40852.13723141074,33698.800119219675,37674.98188084115,3976.1817616214757,7153.337112191068
60000.0,0.05,18,0.97,0.05,696925.2061962864,0.0,37641.370785894745,40815.69169130161,33668.73630727227,37641.370785894745,3972.6344786224727,7146.955384029337
60000.0,0.05,18,0.97,0.3,774897.8995975689,0.0,40605.25824935103,44029.52568274269,36319.81790627009,40605.25824935103,4285.44034308094,7709.7077764726055
60000.0,0.05,25,0.9,0.05,540791.6346151113,0.11926605504587157,34924.98320340749,37870.22940430048,31239.033687159845,34924.98320340749,3685.9495162476487,6631.195717140636
60000.0,0.05,25,0.9,0.3,613137.4326163011,0.06422018348623854,37674.98188084115,40852.13723141074,33698.800119219675,37674.98188084115,3976.1817616214757,7153.337112191068
60000.0,0.05,25,0.97,0.05,582853.2061962865,0.11926605504587157,37641.370785894745,40815.69169130161,33668.73630727227,37641.370785894745,3972.6344786224727,7146.955384029337
60000.0,0.05,25,0.97,0.3,660825.8995975689,0.06422018348623854,40605.25824935103,44029.52568274269,36319.81790627009,40605.25824935103,4285.44034308094,7709.7077764726055
60000.0,0.05,32,0.9,0.05,434951.6346151112,0.26605504587155965,34924.98320340749,37870.22940430048,31239.033687159845,34924.98320340749,3685.9495162476487,6631.195717140636
60000.0,0.05,32,0.9,0.3,507297.4326163011,0.23853211009174313,37674.98188084115,40852.13723141074,33698.800119219675,37674.98188084115,3976.1817616214757,7153.337112191068
60000.0,0.05,32,0.97,0.05,468781.2061962865,0.26605504587155965,37641.370785894745,40815.69169130161,33668.73630727227,37641.370785894745,3972.6344786224727,7146.955384029337
60000.0,0.05,32,0.97,0.3,546753.8995975689,0.23853211009174313,40605.25824935103,44029.52568274269,36319.81790627009,40605.25824935103,4285.44034308094,7709.7077764726055
60000.0,0.07,18,0.9,0.05,537767.6346151113,0.11926605504587157,34924.98320340749,37870.22940430048,31239.033687159845,34924.98320340749,3685.9495162476487,6631.195717140636
60000.0,0.07,18,0.9,0.3,610113.4326163011,0.06422018348623854,37674.98188084115,40852.13723141074,33698.800119219675,37674.98188084115,3976.1817616214757,7153.337112191068
60000.0,0.07,18,0.97,0.05,579594.0061962864,0.11926605504587157,37641.370785894745,40815.69169130161,33668.73630727227,37641.370785894745,3972.6344786224727,7146.955384029337
60000.0,0.07,18,0.97,0.3,657566.6995975688,0.06422018348623854,40605.25824935103,44029.52568274269,36319.81790627009,40605.25824935103,4285.44034308094,7709.7077764726055
60000.0,0.07,25,0.9,0.05,389591.63461511116,0.3119266055045872,34924.98320340749,37870.22940430048,31239.033687159845,34924.98320340749,3685.9495162476487,6631.195717140636
60000.0,0.07,25,0.9,0.3,461937.432616301,0.26605504587155965,37674.98188084115,40852.13723141074,33698.800119219675,37674.98188084115,3976.1817616214757,7153.337112191068
60000.0,0.07,25,0.97,0.05,419893.2061962865,0.3119266055045872,37641.370785894745,40815.69169130161,33668.73630727227,37641.370785894745,3972.6344786224727,7146.955384029337
60000.0,0.07,25,0.97,0.3,497865.8995975688,0.26605504587155965,40605.25824935103,44029.52568274269,36319.81790627009,40605.25824935103,4285.44034308094,7709.7077764726055
60000.0,0.07,32,0.9,0.05,241415.63461511114,0.47706422018348627,34924.98320340749,37870.22940430048,31239.033687159845,34924.98320340749,3685.9495162476487,6631.195717140636
60000.0,0.07,32,0.9,0.3,313761.432616301,0.44954128440366975,37674.98188084115,40852.13723141074,33698.800119219675,37674.98188084115,3976.1817616214757,7153.337112191068
60000.0,0.07,32,0.97,0.05,260192.40619628647,0.47706422018348627,37641.370785894745,40815.69169130161,33668.73630727227,37641.370785894745,3972.6344786224727,7146.955384029337
60000.0,0.07,32,0.97,0.3,338165.09959756874,0.44954128440366975,40605.25824935103,44029.52568274269,36319.81790627009,40605.25824935103,4285.44034308094,7709.7077764726055
90000.0,0.03,18,0.9,0.05,1214891.4519226667,0.0,52387.47480511125,56805.34410645069,46858.55053073977,52387.47480511125,5528.9242743714785,9946.793575710923
90000.0,0.03,18,0.9,0.3,1323410.1489244513,0.0,56512.47282126174,61278.20584711612,50548.20017882951,56512.47282126174,5964.272642432232,10730.005668286612
90000.0,0.03,18,0.97,0.05,1309383.0092944303,0.0,56462.05617884212,61223.53753695242,50503.10446090843,56462.05617884212,5958.951717933691,10720.433076043992
90000.0,0.03,18,0.97,0.3,1426342.0493963533,0.0,60907.88737402654,66044.28852411405,54479.72685940514,60907.88737402654,6428.160514621399,11564.561664708905
90000.0,0.03,25,0.9,0.05,1151387.4519226667,0.0,52387.47480511125,56805.34410645069,46858.55053073977,52387.47480511125,5528.9242743714785,9946.793575710923
90000.0,0.03,25,0.9,0.3,1259906.1489244513,0.0,56512.47282126174,61278.20584711612,50548.20017882951,56512.47282126174,5964.272642432232,10730.005668286612
90000.0,0.03,25,0.97,0.05,1240939.8092944294,0.0,56462.05617884212,61223.53753695242,50503.10446090843,56462.05617884212,5958.951717933691,10720.433076043992
90000.0,0.03,25,0.97,0.3,1357898.8493963534,0.0,60907.88737402654,66044.28852411405,54479.72685940514,60907.88737402654,6428.160514621399,11564.561664708905
90000.0,0.03,32,0.9,0.05,1087883.4519226667,0.0,52387.47480511125,56805.34410645069,46858.55053073977,52387.47480511125,5528.9242743714785,9946.793575710923
